DbFileName;LoadTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage
db-0.dat;00:00;00:09;20000;159,4151;0,2652731;0
db-1.dat;00:00;00:10;20000;159,4151;0,2799359;0
db-2.dat;00:00;00:12;20000;159,4151;0,2921401;0
db-3.dat;00:00;00:17;20000;159,4151;0,3047217;0
db-4.dat;00:00;00:29;20000;159,4151;0,3225292;0
db-5.dat;00:00;01:05;20000;159,4151;0,3412749;0
db-6.dat;00:01;01:27;20000;159,4151;0,3471206;0
db-7.dat;00:02;02:03;20000;159,4151;0,3539397;0
db-8.dat;00:06;03:22;20000;159,4151;0,3619551;0
db-9.dat;00:19;04:56;20000;159,4151;0,3664035;0
db-10.dat;02:09;08:44;20000;159,4151;0,3713139;0
db-11.dat;03:45;09:39;20000;159,4151;0,3720623;0
db-12.dat;06:33;10:50;20000;159,4151;0,3728369;0
db-13.dat;12:32;12:13;20000;159,4151;0,3735601;0
db-14.dat;23:43;13:47;20000;159,4151;0,3741569;0
db-15.dat;32:23;14:27;20000;159,4151;0,3743369;0
db-16.dat;43:46;15:45;20000;159,4151;0,374497;0
