MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;06:53;00:07;20000;159,4151;0,2740237;0;516;2605;8149
0,001;0,25;06:59;00:09;20000;159,4151;0,288881;0;629;3084;10520
0,001;0,2;06:52;00:10;20000;159,4151;0,3007582;0;769;3598;13930
0,001;0,15;06:46;00:15;20000;159,4151;0,3134624;0;959;4169;19394
0,001;0,1;06:47;00:25;20000;159,4151;0,3312653;0;1320;4864;32125
0,001;0,05;06:48;00:57;20000;159,4151;0,3503585;0;2469;5556;81703
0,001;0,04;06:46;01:17;20000;159,4151;0,3562081;0;3159;5694;113047
0,001;0,03;06:47;01:52;20000;159,4151;0,3629568;0;4595;5771;179446
0,001;0,02;06:48;03:12;20000;159,4151;0,3709967;0;8797;5800;374816
0,001;0,015;06:46;04:46;20000;159,4151;0,3755307;0;15334;5804;679039
0,001;0,01;06:47;08:19;20000;159,4151;0,3804969;0;37961;5804;1732132
0,001;0,009;06:49;09:29;20000;159,4151;0,3812814;0;48565;5804;2225647
0,001;0,008;06:49;10:51;20000;159,4151;0,3818991;0;63873;5804;2938096
0,001;0,007;06:50;12:24;20000;159,4151;0,3828239;0;85713;5804;3954568
0,001;0,006;06:51;13:58;20000;159,4151;0,3833858;0;115655;5804;5348068
0,001;0,0055;06:51;14:45;20000;159,4151;0,3835219;0;134025;5804;6203071
0,001;0,005;06:52;15:36;20000;159,4151;0,3836717;0;154815;5804;7170702
