DbFileName;LoadTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage
db-0.dat;00:00;00:08;20000;159,4151;0,2653147;0
db-1.dat;00:00;00:10;20000;159,4151;0,2799755;0
db-2.dat;00:00;00:12;20000;159,4151;0,2921864;0
db-3.dat;00:00;00:17;20000;159,4151;0,304728;0
db-4.dat;00:00;00:28;20000;159,4151;0,3225917;0
db-5.dat;00:00;01:04;20000;159,4151;0,3413964;0
db-6.dat;00:01;01:25;20000;159,4151;0,3472492;0
db-7.dat;00:02;02:03;20000;159,4151;0,3540724;0
db-8.dat;00:06;03:24;20000;159,4151;0,3620855;0
db-9.dat;00:20;05:00;20000;159,4151;0,3665971;0
db-10.dat;02:14;08:30;20000;159,4151;0,3715095;0
db-11.dat;03:45;09:35;20000;159,4151;0,3722608;0
db-12.dat;06:46;10:56;20000;159,4151;0,3729216;0
db-13.dat;12:38;12:24;20000;159,4151;0,373769;0
db-14.dat;24:19;14:19;20000;159,4151;0,3742596;0
db-15.dat;32:55;14:41;20000;159,4151;0,3744932;0
db-16.dat;44:09;15:24;20000;159,4151;0,3746497;0
