DbFileName;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage
db-0.dat;23:26;20000;159,4151;0,3317679;0
db-1.dat;27:49;20000;159,4151;0,3325886;0
