MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,05;0,05;01:06;00:16;20000;159,4151;0,08600442;0,261305;91
0,05;0,01;01:16;00:17;20000;159,4151;0,08600442;0,2613079;94
0,05;0,001;01:21;00:18;20000;159,4151;0,08600442;0,2613079;95
0,05;0,0001;01:23;00:18;20000;159,4151;0,08600442;0,2613079;95
0,01;0,05;02:11;01:06;20000;159,4151;0,1743237;0,4228652;444
0,01;0,01;02:14;02:11;20000;159,4151;0,1845982;0,453181;3687
0,01;0,001;02:11;02:09;20000;159,4151;0,1845982;0,453181;3924
0,01;0,0001;02:11;02:11;20000;159,4151;0,1845982;0,453181;3926
0,005;0,05;02:57;01:22;20000;159,4151;0,2258813;0,4914449;613
0,005;0,01;02:53;04:59;20000;159,4151;0,2434267;0,5593306;11626
0,005;0,001;02:55;04:43;20000;159,4151;0,2434404;0,559409;19109
0,005;0,0001;02:29;04:00;20000;159,4151;0,2434404;0,559409;19184
