MinThreshold;MinScore;TrainTime;DbFileName;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,008;16:19;db-0.dat;209151829;10618;9443715
0,001;0,007;07:20;db-1.dat;280420346;10618;12682973
