MinThreshold;MinScore;TrainTime;DbFileName;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;06:31;db-0.dat;702036;3482;10938
0,001;0,25;02:50;db-1.dat;833345;3987;13897
0,001;0,2;03:12;db-2.dat;990925;4470;18137
0,001;0,15;03:01;db-3.dat;1207981;4988;25000
0,001;0,1;03:00;db-4.dat;1617142;5500;40624
0,001;0,05;03:00;db-5.dat;2929052;5818;98425
0,001;0,04;02:50;db-6.dat;3705300;5843;133545
0,001;0,03;03:07;db-7.dat;5311487;5849;206488
0,001;0,02;03:04;db-8.dat;9904650;5849;415217
0,001;0,015;03:03;db-9.dat;16914678;5849;733811
0,001;0,01;03:03;db-10.dat;40755962;5849;1817434
0,001;0,009;02:52;db-11.dat;51841313;5849;2321271
0,001;0,008;02:52;db-12.dat;67798433;5849;3046526
0,001;0,007;02:53;db-13.dat;90516371;5849;4079043
0,001;0,006;03:00;db-14.dat;121549855;5849;5489527
0,001;0,0055;03:00;db-15.dat;140549392;5849;6353095
0,001;0,005;03:00;db-16.dat;162039680;5849;7329863
