MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,005;0,3;08:32;00:09;20000;159,4151;0,184536;0;114;592;1682
0,005;0,25;08:16;00:09;20000;159,4151;0,1932575;0;141;702;2282
0,005;0,2;08:16;00:12;20000;159,4151;0,2000902;0;182;840;3428
0,005;0,15;08:13;00:17;20000;159,4151;0,2067278;0;252;1032;5595
0,005;0,1;08:18;00:31;20000;159,4151;0,219329;0;427;1256;12490
0,005;0,05;08:16;01:16;20000;159,4151;0,2319115;0;1317;1452;52791
0,005;0,04;08:14;01:43;20000;159,4151;0,2368594;0;2043;1486;86390
0,005;0,03;08:15;02:27;20000;159,4151;0,2421603;0;3722;1504;164394
0,005;0,02;08:15;03:42;20000;159,4151;0,247636;0;8944;1508;407443
0,005;0,015;08:12;04:28;20000;159,4151;0,249493;0;16147;1508;742672
0,005;0,01;08:16;05:01;20000;159,4151;0,2499812;0;30013;1508;1387963
0,005;0,009;08:17;05:03;20000;159,4151;0,2500017;0;33348;1508;1543187
0,005;0,008;08:17;05:09;20000;159,4151;0,2499908;0;36652;1508;1696986
0,005;0,007;08:15;05:11;20000;159,4151;0,2499688;0;39774;1508;1842250
0,005;0,006;08:16;05:15;20000;159,4151;0,2500193;0;42552;1508;1971552
0,005;0,0055;08:17;05:16;20000;159,4151;0,2499886;0;43779;1508;2028662
0,005;0,005;08:16;05:16;20000;159,4151;0,2500088;0;44864;1508;2079165
