MinThreshold;MinScore;TrainTime;DbFileName;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;09:16;db-0.dat;720903;3502;11652
0,001;0,25;04:27;db-1.dat;854829;4008;14724
0,001;0,2;04:27;db-2.dat;1015218;4492;19090
0,001;0,15;04:27;db-3.dat;1237373;5009;26191
0,001;0,1;04:29;db-4.dat;1657319;5520;42313
0,001;0,05;04:27;db-5.dat;3000510;5836;101548
0,001;0,04;04:27;db-6.dat;3785179;5861;137049
0,001;0,03;04:27;db-7.dat;5406092;5867;210662
0,001;0,02;04:27;db-8.dat;10030520;5867;420812
0,001;0,015;04:27;db-9.dat;17074283;5867;740939
0,001;0,01;04:28;db-10.dat;40989794;5867;1827936
0,001;0,009;04:28;db-11.dat;52101670;5867;2332978
0,001;0,008;04:30;db-12.dat;68101080;5867;3060155
0,001;0,007;04:30;db-13.dat;90872781;5867;4095115
0,001;0,006;04:30;db-14.dat;121963799;5867;5508215
0,001;0,0055;04:31;db-15.dat;140999437;5867;6373424
0,001;0,005;04:31;db-16.dat;162529635;5867;7352007
