DbFileName;LoadTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage
db-0.dat;00:00;00:08;20000;159,4151;0,2742457;0
db-1.dat;00:00;00:09;20000;159,4151;0,2891675;0
db-2.dat;00:00;00:11;20000;159,4151;0,3010457;0
db-3.dat;00:00;00:15;20000;159,4151;0,3136828;0
db-4.dat;00:00;00:26;20000;159,4151;0,3315813;0
db-5.dat;00:00;00:59;20000;159,4151;0,3507061;0
db-6.dat;00:00;01:19;20000;159,4151;0,3565855;0
db-7.dat;00:01;01:54;20000;159,4151;0,3633715;0
db-8.dat;00:05;03:14;20000;159,4151;0,371406;0
db-9.dat;00:18;04:44;20000;159,4151;0,3759219;0
db-10.dat;02:04;08:11;20000;159,4151;0,3809207;0
db-11.dat;03:30;09:17;20000;159,4151;0,3817129;0
db-12.dat;06:14;10:36;20000;159,4151;0,3823453;0
db-13.dat;11:48;12:06;20000;159,4151;0,3832434;0
db-14.dat;22:54;13:41;20000;159,4151;0,3837503;0
db-15.dat;31:08;14:25;20000;159,4151;0,3840847;0
db-16.dat;42:29;15:03;20000;159,4151;0,384151;0
