MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;09:15;00:08;20000;159,4151;0,2718323;0;614;3097;9862
0,001;0,25;09:08;00:10;20000;159,4151;0,2864767;0;751;3683;12779
0,001;0,2;09:09;00:13;20000;159,4151;0,3000631;0;941;4402;17353
0,001;0,15;09:11;00:19;20000;159,4151;0,3121384;0;1205;5220;24954
0,001;0,1;09:10;00:33;20000;159,4151;0,3307531;0;1726;6256;43211
0,001;0,05;09:09;01:18;20000;159,4151;0,350076;0;3470;7367;118167
0,001;0,04;09:11;01:47;20000;159,4151;0,3563356;0;4542;7543;167050
0,001;0,03;09:09;02:37;20000;159,4151;0,3631285;0;6780;7668;270465
0,001;0,02;09:06;04:35;20000;159,4151;0,3710552;0;13457;7709;580907
0,001;0,015;09:10;06:51;20000;159,4151;0,3756252;0;24050;7712;1073884
0,001;0,01;09:08;12:04;20000;159,4151;0,3807543;0;61788;7712;2830261
0,001;0,009;09:13;13:45;20000;159,4151;0,3815157;0;79800;7712;3668611
0,001;0,008;09:26;18:26;20000;159,4151;0,3822886;0;106050;7712;4890309
