MinThreshold;MinScore;TrainTime;DbFileName;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;07:45;db-0.dat;715816;3496;11465
0,001;0,25;03:41;db-1.dat;849279;4002;14516
0,001;0,2;03:40;db-2.dat;1009410;4486;18869
0,001;0,15;03:40;db-3.dat;1230754;5002;25936
0,001;0,1;03:40;db-4.dat;1648601;5513;41963
0,001;0,05;03:40;db-5.dat;2984249;5831;100845
0,001;0,04;03:40;db-6.dat;3766763;5856;136248
0,001;0,03;03:40;db-7.dat;5384491;5862;209716
0,001;0,02;03:40;db-8.dat;10000223;5862;419471
0,001;0,015;03:41;db-9.dat;17033949;5862;739142
0,001;0,01;03:41;db-10.dat;40927842;5862;1825156
0,001;0,009;03:41;db-11.dat;52033176;5862;2329901
0,001;0,008;03:51;db-12.dat;68020162;5862;3056513
0,001;0,007;03:47;db-13.dat;90776000;5862;4090753
0,001;0,006;03:46;db-14.dat;121849549;5862;5503059
0,001;0,0055;03:49;db-15.dat;140874219;5862;6367768
0,001;0,005;03:48;db-16.dat;162391634;5862;7345771
