MinThreshold;MinScore;TrainTime;DbFileName;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;09:43;db-0.dat;567939;2651;9620
0,001;0,25;03:47;db-1.dat;690182;3134;12260
0,001;0,2;03:46;db-2.dat;841893;3651;16028
0,001;0,15;03:46;db-3.dat;1050217;4225;22111
0,001;0,1;03:46;db-4.dat;1449043;4921;36164
0,001;0,05;03:47;db-5.dat;2701569;5614;89153
0,001;0,04;03:47;db-6.dat;3429955;5753;121516
0,001;0,03;03:48;db-7.dat;4939966;5829;189706
0,001;0,02;03:47;db-8.dat;9319163;5858;388553
0,001;0,015;03:47;db-9.dat;16101432;5862;696762
0,001;0,01;03:47;db-10.dat;39519339;5862;1761136
0,001;0,009;03:48;db-11.dat;50490479;5862;2259781
0,001;0,008;03:48;db-12.dat;66323394;5862;2979395
0,001;0,007;03:49;db-13.dat;88918521;5862;4006341
0,001;0,006;03:50;db-14.dat;119856702;5862;5412485
0,001;0,0055;03:51;db-15.dat;138833773;5862;6275032
0,001;0,005;03:51;db-16.dat;160314284;5862;7251354
