MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:19;00:03;20000;157,3393;0,01132399;0,331656;14
0,1;00:17;00:06;20000;157,3393;0,03109333;0,3983338;26
0,05;01:16;00:08;20000;157,3393;0,07715217;0,5131434;65
0,04;00:25;00:09;20000;157,3393;0,08450337;0,5433348;89
0,03;00:28;00:08;20000;157,3393;0,0922846;0,5859713;128
0,02;00:21;00:11;20000;157,3393;0,1050677;0,6504478;208
0,01;00:17;00:12;20000;157,3393;0,1210864;0,7404619;457
0,005;00:19;00:11;20000;157,3393;0,1311464;0,8077972;959
0,001;00:18;00:33;20000;157,3393;0,1456149;0,9133267;5169
0,0005;00:17;01:11;20000;157,3393;0,1478706;0,9386945;10229
0,0004;01:02;01:32;20000;157,3393;0,1490492;0,9451925;14179
0,0003;00:22;03:02;20000;157,3393;0,149336;0,9526722;24041
0,0002;00:24;03:53;20000;157,3393;0,1501535;0,9614139;28207
0,0001;00:18;22:27;20000;157,3393;0,148424;0,9721914;124098
5E-05;00:17;20:51;20000;157,3393;0,1486211;0,979364;125431
4E-05;00:17;20:46;20000;157,3393;0,1486211;0,979364;125431
3E-05;00:16;20:48;20000;157,3393;0,1486211;0,979364;125431
2E-05;01:49;23:10;20000;157,3393;0,1486211;0,979364;125431
1,5E-05;00:45;20:20;20000;157,3393;0,1486211;0,979364;125431
1E-05;00:16;20:39;20000;157,3393;0,1486211;0,979364;125431
0;00:16;20:55;20000;157,3393;0,1486211;0,979364;125431
