RareWordFreq;SeqThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;0,005;00:17;00:21;20000;157,2897;0,322717;0,8143962;162
0,1;0,005;00:17;00:48;20000;157,2897;0,3397848;0,8926549;352
0,05;0,005;00:17;03:12;20000;157,2897;0,3512241;0,9544288;1355
0;0,005;00:17;19:30;20000;157,2897;0,353834;0,9746292;9309
