MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:18;00:02;20000;157,3393;0,06651285;0,1481936;1
0,1;00:18;00:02;20000;157,3393;0,07136662;0,1645223;1
0,05;00:18;00:04;20000;157,3393;0,1000109;0,2080966;3
0,04;00:20;00:03;20000;157,3393;0,09945155;0,2199927;3
0,03;00:18;00:03;20000;157,3393;0,09670977;0,2451291;5
0,02;00:18;00:03;20000;157,3393;0,1144217;0,2855449;9
0,01;00:17;00:03;20000;157,3393;0,1535708;0,3983338;26
0,005;00:18;00:03;20000;157,3393;0,1922764;0,5131434;65
0,001;00:18;00:07;20000;157,3393;0,2565348;0,7404619;457
0,0005;00:18;00:11;20000;157,3393;0,2726322;0,8077972;959
0,0004;00:17;00:13;20000;157,3393;0,2768161;0,8276041;1219
0,0003;00:19;00:09;20000;157,3393;0,2810598;0,8497722;1662
0,0002;00:19;00:12;20000;157,3393;0,2860239;0,8774866;2478
0,0001;00:23;00:20;20000;157,3393;0,2916962;0,9133267;5169
5E-05;00:18;00:43;20000;157,3393;0,2959764;0,9386945;10229
4E-05;00:27;02:12;20000;157,3393;0,2972848;0,9451925;14179
3E-05;00:21;01:27;20000;157,3393;0,2984277;0,9526722;24041
2E-05;00:21;01:37;20000;157,3393;0,2994086;0,9614139;28207
1,5E-05;00:20;06:36;20000;157,3393;0,2998727;0,9664673;102202
1E-05;00:21;08:13;20000;157,3393;0,2999905;0,9721914;124098
0;00:18;07:34;20000;157,3393;0,300437;0,979364;125431
