MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,001;0,25;06:13;00:14;20000;157,3393;0,3009871;0,4860837;582
0,001;0,2;06:48;00:19;20000;157,3393;0,311612;0,512081;702
0,001;0,15;06:52;00:25;20000;157,3393;0,3246547;0,541685;875
0,001;0,1;06:38;00:41;20000;157,3393;0,3362444;0,5761239;1184
0,001;0,04;06:32;02:10;20000;157,3393;0,3614786;0,6511648;2837
0,001;0,03;06:27;03:04;20000;157,3393;0,367067;0,6724953;4171
0,001;0,02;05:43;04:22;20000;157,3393;0,3743009;0,6976346;8166
