MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,05;0,1;01:35;00:04;20000;157,3393;0,1051199;0,2579384;58
0,05;0,05;01:32;00:04;20000;157,3393;0,1043261;0,2581871;78
0,05;0,01;01:33;00:04;20000;157,3393;0,1043261;0,2581901;79
0,05;0,005;01:33;00:04;20000;157,3393;0,1043261;0,2581901;79
0,05;0,001;01:33;00:04;20000;157,3393;0,1043261;0,2581901;80
0,01;0,1;02:27;00:06;20000;157,3393;0,1133704;0,3725219;132
0,01;0,05;02:31;00:11;20000;157,3393;0,1277277;0,4147401;425
0,01;0,01;02:25;00:24;20000;157,3393;0,1454631;0,4479923;3619
0,01;0,005;02:23;00:24;20000;157,3393;0,1454631;0,4479923;3819
0,01;0,001;02:23;00:24;20000;157,3393;0,1454631;0,4479923;3854
0,005;0,1;03:11;00:06;20000;157,3393;0,1171546;0,4392247;225
0,005;0,05;03:11;00:12;20000;157,3393;0,1392262;0,485864;589
0,005;0,01;03:11;00:58;20000;157,3393;0,1719253;0,5523737;12049
0,005;0,005;03:10;01:04;20000;157,3393;0,1719253;0,5524714;18071
0,005;0,001;03:11;01:05;20000;157,3393;0,1719253;0,5524714;19897
