MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,05;0,1;01:30;01:04;20000;161,5466;0,1100999;0,2361596;59
0,05;0,05;01:13;01:11;20000;161,5466;0,1104551;0,2366776;87
0,05;0,01;01:26;01:23;20000;161,5466;0,1104762;0,2366967;89
0,05;0,005;01:20;01:11;20000;161,5466;0,1104762;0,2366967;89
0,05;0,001;01:13;01:11;20000;161,5466;0,1104762;0,2366967;89
0,01;0,1;01:57;01:25;20000;161,5466;0,1722465;0,3383571;123
0,01;0,05;01:56;02:59;20000;161,5466;0,1816575;0,3756848;387
0,01;0,01;01:56;08:57;20000;161,5466;0,1908148;0,4020114;2816
0,01;0,005;02:39;08:09;20000;161,5466;0,1908148;0,4020114;2973
0,01;0,001;01:58;08:13;20000;161,5466;0,1908148;0,4020114;3004
0,005;0,1;02:47;01:33;20000;161,5466;0,2139305;0,390247;191
0,005;0,05;02:45;03:18;20000;161,5466;0,2258514;0,4335229;515
0,005;0,01;02:40;20:58;20000;161,5466;0,2452751;0,4962587;8912
0,005;0,005;02:43;20:53;20000;161,5466;0,2453353;0,4964174;13295
0,005;0,001;02:34;21:34;20000;161,5466;0,2453353;0,4964209;14660
