MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,05;0,05;00:59;00:12;20000;161,5466;0,1104551;0,2366776;86
0,05;0,01;01:07;00:15;20000;161,5466;0,1104762;0,2366967;88
0,05;0,001;01:13;00:14;20000;161,5466;0,1104762;0,2366967;88
0,05;0,0001;01:15;00:15;20000;161,5466;0,1104762;0,2366967;88
0,01;0,05;01:55;00:46;20000;161,5466;0,1816575;0,3756848;375
0,01;0,01;01:56;01:29;20000;161,5466;0,1908148;0,4020114;2699
0,01;0,001;01:56;01:29;20000;161,5466;0,1908148;0,4020114;2879
0,01;0,0001;01:54;01:28;20000;161,5466;0,1908148;0,4020114;2880
0,005;0,05;02:34;00:57;20000;161,5466;0,2258514;0,4335229;503
0,005;0,01;02:35;03:19;20000;161,5466;0,2452751;0,4962587;8535
0,005;0,001;02:32;03:26;20000;161,5466;0,2453353;0,4964209;14033
0,005;0,0001;02:32;03:27;20000;161,5466;0,2453353;0,4964209;14086
