MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,05;0,1;01:25;00:04;20000;161,5466;0,1016254;0,2361596;59
0,05;0,01;01:25;00:04;20000;161,5466;0,1016254;0,2366967;89
0,05;0,001;01:25;00:04;20000;161,5466;0,1016254;0,2366967;89
0,01;0,1;02:07;00:05;20000;161,5466;0,1369324;0,3383571;123
0,01;0,01;02:07;00:17;20000;161,5466;0,1615685;0,4020114;2816
0,01;0,001;02:18;00:20;20000;161,5466;0,1615685;0,4020114;3004
0,005;0,1;03:05;00:06;20000;161,5466;0,1482886;0,390247;191
0,005;0,01;02:54;00:40;20000;161,5466;0,1910705;0,4962587;8912
0,005;0,001;02:53;00:46;20000;161,5466;0,1910705;0,4964209;14660
