MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,001;0,25;05:04;00:12;20000;161,5466;0,2745948;0,3907147;389
0,001;0,2;05:43;00:14;20000;161,5466;0,2908069;0,4240017;494
0,001;0,15;05:49;00:20;20000;161,5466;0,3044192;0,4661153;647
0,001;0,1;05:54;00:31;20000;161,5466;0,3207097;0,5118706;923
0,001;0,04;05:46;01:30;20000;161,5466;0,3483217;0,58857;2229
0,001;0,03;05:43;02:13;20000;161,5466;0,3558434;0,6104014;3226
0,001;0,02;05:36;03:37;20000;161,5466;0,3658296;0,6391277;6069
