DbFileName;LoadTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage
db-0.dat;00:00;00:02;20000;147,9342;0,1926514;0
db-1.dat;00:00;00:03;20000;147,9342;0,2104335;0
db-2.dat;00:00;00:03;20000;147,9342;0,2248285;0
db-3.dat;00:00;00:05;20000;147,9342;0,2434259;0
db-4.dat;00:00;00:08;20000;147,9342;0,2619377;0
db-5.dat;00:00;00:19;20000;147,9342;0,2860929;0
db-6.dat;00:00;00:25;20000;147,9342;0,2945807;0
db-7.dat;00:00;00:36;20000;147,9342;0,3017874;0
db-8.dat;00:00;00:58;20000;147,9342;0,3095448;0
db-9.dat;00:00;01:29;20000;147,9342;0,3128655;0
db-10.dat;00:03;02:29;20000;147,9342;0,3164171;0
db-11.dat;00:05;02:55;20000;147,9342;0,3170456;0
db-12.dat;00:11;03:37;20000;147,9342;0,3177936;0
db-13.dat;00:19;03:31;20000;147,9342;0,318329;0
db-14.dat;00:27;03:40;20000;147,9342;0,3191509;0
db-15.dat;00:37;03:54;20000;147,9342;0,3193845;0
db-16.dat;00:50;04:14;20000;147,9342;0,3195379;0
