MinThreshold;MinScore;TrainTime;DbFileName;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;02:38;db-0.dat;290;1782;3212
0,001;0,25;01:06;db-1.dat;345;2091;4035
0,001;0,2;01:07;db-2.dat;424;2507;5466
0,001;0,15;01:05;db-3.dat;543;3082;7977
0,001;0,1;01:07;db-4.dat;733;3803;13133
0,001;0,05;01:07;db-5.dat;1288;4775;34131
0,001;0,04;01:07;db-6.dat;1622;4992;48632
0,001;0,03;01:07;db-7.dat;2301;5177;79367
0,001;0,02;01:07;db-8.dat;4242;5266;169242
0,001;0,015;01:07;db-9.dat;7229;5275;308197
0,001;0,01;01:07;db-10.dat;17613;5275;791466
0,001;0,009;01:07;db-11.dat;22452;5275;1016658
0,001;0,008;01:07;db-12.dat;29431;5275;1341495
0,001;0,007;01:08;db-13.dat;39416;5275;1806225
0,001;0,006;01:08;db-14.dat;53044;5275;2440473
0,001;0,0055;01:08;db-15.dat;61396;5275;2829142
0,001;0,005;01:09;db-16.dat;70820;5275;3267736
