MinThreshold;MinScore;TrainTime;DbFileName;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;01:22;db-0.dat;243;1519;2444
0,001;0,25;00:23;db-1.dat;290;1785;3097
0,001;0,2;00:23;db-2.dat;356;2137;4210
0,001;0,15;00:23;db-3.dat;457;2630;6221
0,001;0,1;00:23;db-4.dat;614;3241;10362
0,001;0,05;00:23;db-5.dat;1082;4093;27864
0,001;0,04;00:23;db-6.dat;1370;4290;40292
0,001;0,03;00:23;db-7.dat;1961;4457;67012
0,001;0,02;00:23;db-8.dat;3678;4538;146513
0,001;0,015;00:23;db-9.dat;6314;4547;269122
0,001;0,01;00:23;db-10.dat;15361;4547;690193
0,001;0,009;00:23;db-11.dat;19535;4547;884442
0,001;0,008;00:24;db-12.dat;25509;4547;1162487
0,001;0,007;00:24;db-13.dat;34035;4547;1559315
0,001;0,006;00:24;db-14.dat;45693;4547;2101860
0,001;0,0055;00:24;db-15.dat;52824;4547;2433764
0,001;0,005;00:24;db-16.dat;60904;4547;2809758
