MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:19;00:03;20000;159,4151;0,1211755;0,3491038;15
0,1;00:19;00:04;20000;159,4151;0,1454735;0,4180281;25
0,05;00:21;00:05;20000;159,4151;0,1794325;0,524196;64
0,04;00:47;00:04;20000;159,4151;0,1900368;0,5588273;84
0,03;00:20;00:11;20000;159,4151;0,2042965;0,6067806;123
0,02;00:21;00:10;20000;159,4151;0,2197541;0,6633196;202
0,01;00:18;00:12;20000;159,4151;0,2445886;0,7526479;449
0,005;00:19;00:07;20000;159,4151;0,2620651;0,8237032;952
0,001;00:18;00:19;20000;159,4151;0,283587;0,9259697;5429
0,0005;00:18;00:32;20000;159,4151;0,2880905;0,9491709;10883
0,0004;00:19;00:40;20000;159,4151;0,2892064;0,9543588;15173
0,0003;00:23;01:13;20000;159,4151;0,2904122;0,9608933;25913
0,0002;00:19;01:27;20000;159,4151;0,2914087;0,9678489;30212
0,0001;00:17;07:02;20000;159,4151;0,2923052;0,9774091;128320
5E-05;00:19;07:03;20000;159,4151;0,2927634;0,9838367;129488
4E-05;00:22;07:05;20000;159,4151;0,2927634;0,9838367;129488
3E-05;00:25;09:27;20000;159,4151;0,2927634;0,9838367;129488
2E-05;01:23;07:20;20000;159,4151;0,2927634;0,9838367;129488
1,5E-05;00:21;08:07;20000;159,4151;0,2927634;0,9838367;129488
1E-05;00:25;07:04;20000;159,4151;0,2927634;0,9838367;129488
0;00:20;06:06;20000;159,4151;0,2927634;0,9838367;129488
