MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,01;00:18;00:03;20000;159,4151;0,1338911;0,4180281;14
0,005;00:18;00:04;20000;159,4151;0,1639061;0,524196;34
0,001;00:32;00:10;20000;159,4151;0,2213414;0,7526479;216
0,0005;00:22;00:12;20000;159,4151;0,2371188;0,8237032;447
0,0001;00:30;00:20;20000;159,4151;0,255762;0,9259697;2254
5E-05;00:21;00:24;20000;159,4151;0,2597532;0,9491709;4552
1E-05;00:17;01:07;20000;159,4151;0,2642754;0,9774091;30719
