MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:19;00:04;20000;159,4151;0,08669572;0,3491038;15
0,1;00:18;00:06;20000;159,4151;0,1048239;0,4180281;25
0,05;01:17;00:09;20000;159,4151;0,1383512;0,524196;64
0,04;00:25;00:12;20000;159,4151;0,1427589;0,5588273;84
0,03;00:25;00:09;20000;159,4151;0,1566319;0,6067806;123
0,02;00:21;00:11;20000;159,4151;0,1707066;0,6633196;202
0,01;00:17;00:15;20000;159,4151;0,1880849;0,7526479;449
0,005;00:18;00:13;20000;159,4151;0,1958552;0,8237032;952
0,001;00:17;00:35;20000;159,4151;0,2035205;0,9259697;5429
0,0005;00:19;02:06;20000;159,4151;0,2063943;0,9491709;10883
0,0004;00:16;01:55;20000;159,4151;0,2063178;0,9543588;15173
0,0003;00:22;03:38;20000;159,4151;0,2058177;0,9608933;25913
0,0002;00:20;05:39;20000;159,4151;0,206484;0,9678489;30212
0,0001;00:17;26:18;20000;159,4151;0,2034532;0,9774091;128320
5E-05;00:17;25:19;20000;159,4151;0,203836;0,9838367;129488
4E-05;00:17;25:02;20000;159,4151;0,203836;0,9838367;129488
3E-05;00:19;29:25;20000;159,4151;0,203836;0,9838367;129488
2E-05;00:17;25:31;20000;159,4151;0,203836;0,9838367;129488
1,5E-05;00:17;25:00;20000;159,4151;0,203836;0,9838367;129488
1E-05;00:17;23:22;20000;159,4151;0,203836;0,9838367;129488
0;00:15;21:30;20000;159,4151;0,203836;0,9838367;129488
