MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:16;00:01;20000;161,5466;0,05295399;0,1076437;1
0,1;00:16;00:01;20000;161,5466;0,06729583;0,1398998;1
0,05;00:16;00:02;20000;161,5466;0,09668481;0,21634;2
0,04;00:17;00:04;20000;161,5466;0,1023112;0,2419617;3
0,03;00:17;00:02;20000;161,5466;0,1062373;0,2556142;4
0,02;00:16;00:03;20000;161,5466;0,1202269;0,2886849;7
0,01;00:17;00:03;20000;161,5466;0,1597192;0,3688113;16
0,005;00:15;00:03;20000;161,5466;0,1981201;0,4610239;40
0,001;00:16;00:04;20000;161,5466;0,2766786;0,6757873;305
0,0005;00:16;00:06;20000;161,5466;0,302294;0,7533137;679
0,0004;00:18;00:06;20000;161,5466;0,3080721;0,7750182;878
0,0003;00:19;00:07;20000;161,5466;0,313836;0,7979459;1226
0,0002;00:20;00:10;20000;161,5466;0,3214552;0,8276063;1905
0,0001;00:17;00:14;20000;161,5466;0,3314835;0,8700128;4190
5E-05;00:15;00:29;20000;161,5466;0,3383516;0,9018605;8888
4E-05;00:16;00:29;20000;161,5466;0,3396912;0,9096824;12571
3E-05;00:22;02:24;20000;161,5466;0,3415296;0,9201061;22298
2E-05;00:14;01:09;20000;161,5466;0,3433601;0,9317185;27685
1,5E-05;00:19;05:33;20000;161,5466;0,3442979;0,9398577;121501
1E-05;00:15;07:12;20000;161,5466;0,3448599;0,9488004;156928
0;00:16;07:13;20000;161,5466;0,345212;0,9612178;159424
