MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,01;00:16;00:03;20000;161,5466;0,1569741;0,3688113;10
0,005;00:15;00:04;20000;161,5466;0,1882058;0,4610239;25
0,001;00:15;00:17;20000;161,5466;0,2594147;0,6757873;156
0,0005;00:22;00:08;20000;161,5466;0,2832436;0,7533137;334
0,0001;00:23;00:17;20000;161,5466;0,3109183;0,8700128;1797
5E-05;00:32;00:13;20000;161,5466;0,31757;0,9018605;3721
1E-05;00:23;00:55;20000;161,5466;0,3255932;0,9488004;28623
