MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:16;00:03;20000;161,5466;0,08285074;0,314716;9
0,1;00:15;00:04;20000;161,5466;0,1174802;0,3688113;16
0,05;00:18;01:02;20000;161,5466;0,1432768;0,4610239;40
0,04;00:24;00:08;20000;161,5466;0,1560975;0,4940931;54
0,03;00:23;00:12;20000;161,5466;0,1682988;0,5337428;77
0,02;00:18;00:09;20000;161,5466;0,1886833;0,5886639;130
0,01;00:20;00:06;20000;161,5466;0,2016955;0,6757873;305
0,005;00:20;00:10;20000;161,5466;0,2046726;0,7533137;679
0,001;00:17;00:25;20000;161,5466;0,2060033;0,8700128;4190
0,0005;00:14;00:49;20000;161,5466;0,2035172;0,9018605;8888
0,0004;00:21;01:49;20000;161,5466;0,2019401;0,9096824;12571
0,0003;00:15;02:16;20000;161,5466;0,1993911;0,9201061;22298
0,0002;00:18;03:00;20000;161,5466;0,1982268;0,9317185;27685
0,0001;00:23;29:08;20000;161,5466;0,1882316;0,9488004;156928
5E-05;00:17;26:27;20000;161,5466;0,1895309;0,9612178;159424
4E-05;00:17;26:14;20000;161,5466;0,1895309;0,9612178;159424
3E-05;00:17;30:56;20000;161,5466;0,1895309;0,9612178;159424
2E-05;00:20;26:17;20000;161,5466;0,1895309;0,9612178;159424
1,5E-05;00:16;26:02;20000;161,5466;0,1895309;0,9612178;159424
1E-05;00:16;23:53;20000;161,5466;0,1895309;0,9612178;159424
0;00:15;21:31;20000;161,5466;0,1895309;0,9612178;159424
